dep_date,airline,dep_time,duration,stops,arr_time,price,source,destination,dateofbooking
14/03/2022,IndiGo,04:35,01 h 55 m ,Non stop,06:30,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,Go First,05:50,01 h 50 m ,Non stop,07:40,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,SpiceJet,06:00,02 h ,Non stop,08:00,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,15:15,01 h 55 m ,Non stop,17:10,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,16:25,01 h 50 m ,Non stop,18:15,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,Vistara,17:50,02 h 05 m ,Non stop,19:55,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,19:30,02 h 05 m ,Non stop,21:35,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,Vistara,21:00,02 h 05 m ,Non stop,23:05,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,21:25,01 h 50 m ,Non stop,23:15,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,23:05,01 h 55 m ,Non stop,01:00,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,12:45,04 h 55 m ,1 stop via Hyderabad,17:40,"₹ 7,308",Mumbai,Chennai,13/03/2022
14/03/2022,Vistara,09:45,02 h 05 m ,Non stop,11:50,"₹ 8,358",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,07:15,02 h ,Non stop,09:15,"₹ 8,673",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,10:30,02 h ,Non stop,12:30,"₹ 8,988",Mumbai,Chennai,13/03/2022
14/03/2022,IndiGo,04:50,07 h 10 m ,1 stop via Bengaluru,12:00,"₹ 8,988",Mumbai,Chennai,13/03/2022
14/03/2022,Vistara,06:45,02 h 05 m ,Non stop,08:50,"₹ 9,408",Mumbai,Chennai,13/03/2022
