dep_date,airline,dep_time,duration,stops,arr_time,price,source,destination,dateofbooking
"14 Mar, Mon",GO FIRST,  14:10,6h 35m,1 stop - DEL,  20:45,"₹5,102","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",GO FIRST,  23:45,7h 55m,1 stop - DEL,  07:40,"₹5,102","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",GO FIRST,  16:20,8h 5m,1 stop - GOI,  00:25,"₹5,102","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",GO FIRST,  15:20,9h 5m,1 stop - GOI,  00:25,"₹5,102","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",GO FIRST,  21:45,9h 55m,1 stop - DEL,  07:40,"₹5,102","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",GO FIRST,  09:55,10h 50m,1 stop - DEL,  20:45,"₹5,102","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",IndiGo,  18:45,1h 20m,Non stop,  20:05,"₹5,103","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",IndiGo,  17:10,1h 25m,Non stop,  18:35,"₹5,103","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",IndiGo,  19:55,1h 30m,Non stop,  21:25,"₹5,103","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Air Asia,  20:10,12h 35m,1 stop - BLR,  08:45,"₹5,104","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
