dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 30 Mar",IndiGo,MAA - BLR,19:10 - 19:55, 45m ,Non-stop,"₹ 3,471",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,11:20 - 12:10, 50m ,Non-stop,"₹ 3,366",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",AirAsia (India),MAA - BLR,22:35 - 23:30, 55m ,Non-stop,"₹ 3,348",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,07:45 - 08:40, 55m ,Non-stop,"₹ 3,366",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",SpiceJet,MAA - BLR,07:50 - 09:00, 1h 10m ,Non-stop,"₹ 3,101",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,16:20 - 17:15, 55m ,Non-stop,"₹ 3,366",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,17:55 - 18:50, 55m ,Non-stop,"₹ 3,466",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,21:25 - 22:20, 55m ,Non-stop,"₹ 3,466",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,09:00 - 09:55, 55m ,Non-stop,"₹ 3,467",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",AirAsia (India),MAA - BLR,16:00 - 17:00, 1h ,Non-stop,"₹ 3,348",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,13:00 - 14:00, 1h ,Non-stop,"₹ 3,366",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",AirAsia (India),MAA - BLR,15:50 - 17:00, 1h 10m ,Non-stop,"₹ 3,466",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,19:40 - 23:30, 3h 50m ,1 stop,"₹ 6,336",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",Hahn Air Systems,MAA - BLR,07:50 - 09:00, 1h 10m ,Non-stop,"₹ 14,467",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,16:15 - 20:45, 4h 30m ,1 stop,"₹ 8,273",Chennai - MAA,Bengaluru - BLR,15/03/2022
"Wed, 30 Mar",IndiGo,MAA - BLR,12:35 - 17:25, 4h 50m ,1 stop,"₹ 7,952",Chennai - MAA,Bengaluru - BLR,15/03/2022
