dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 16 Mar",IndiGo,BLR - MAA,07:05 - 07:55, 50m ,Non-stop,"₹ 4,653",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",SpiceJet,BLR - MAA,06:50 - 07:55, 1h 5m ,Non-stop,"₹ 4,023",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,09:20 - 10:05, 45m ,Non-stop,"₹ 5,178",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - MAA,07:30 - 08:30, 1h ,Non-stop,"₹ 4,860",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,10:55 - 12:00, 1h 5m ,Non-stop,"₹ 4,758",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,14:50 - 15:55, 1h 5m ,Non-stop,"₹ 4,863",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,22:55 - 23:45, 50m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - MAA,16:15 - 17:25, 1h 10m ,Non-stop,"₹ 6,726",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,18:15 - 19:15, 1h ,Non-stop,"₹ 9,693",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,20:15 - 00:25, 4h 10m ,1 stop,"₹ 12,015",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",Multiple Airlines,BLR - MAA,19:55 - 00:25, 4h 30m ,1 stop,"₹ 11,365",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,07:45 - 12:45, 5h ,1 stop,"₹ 11,568",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,06:20 - 11:50, 5h 30m ,1 stop,"₹ 10,918",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,05:30 - 10:05, 4h 35m ,1 stop,"₹ 13,480",Bengaluru - BLR,Chennai - MAA,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - MAA,07:25 - 11:30, 4h 5m ,1 stop,"₹ 15,544",Bengaluru - BLR,Chennai - MAA,15/03/2022
