dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 16 Mar",Go First,BLR - CCU,20:00 - 22:20, 2h 20m ,Non-stop,"₹ 5,542",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",Go First,BLR - CCU,06:00 - 08:30, 2h 30m ,Non-stop,"₹ 5,728",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",SpiceJet,BLR - CCU,17:40 - 19:55, 2h 15m ,Non-stop,"₹ 6,142",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,23:10 - 01:35, 2h 25m ,Non-stop,"₹ 6,124",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,21:25 - 23:45, 2h 20m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",SpiceJet,BLR - CCU,18:10 - 20:25, 2h 15m ,Non-stop,"₹ 6,333",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,06:30 - 09:00, 2h 30m ,Non-stop,"₹ 6,124",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",Air India,BLR - CCU,02:40 - 05:15, 2h 35m ,Non-stop,"₹ 6,026",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,23:25 - 01:55, 2h 30m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,20:05 - 22:45, 2h 40m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,03:30 - 06:10, 2h 40m ,Non-stop,"₹ 6,437",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,06:35 - 09:15, 2h 40m ,Non-stop,"₹ 6,438",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,18:00 - 20:20, 2h 20m ,Non-stop,"₹ 6,855",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,13:15 - 15:50, 2h 35m ,Non-stop,"₹ 6,648",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,08:40 - 11:00, 2h 20m ,Non-stop,"₹ 7,240",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,15:15 - 17:45, 2h 30m ,Non-stop,"₹ 7,383",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",FlexFlight,BLR - CCU,20:00 - 22:20, 2h 20m ,Non-stop,"₹ 7,698",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",FlexFlight,BLR - CCU,06:00 - 08:30, 2h 30m ,Non-stop,"₹ 7,698",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,11:45 - 14:00, 2h 15m ,Non-stop,"₹ 8,018",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,12:25 - 16:55, 4h 30m ,1 stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,17:20 - 19:45, 2h 25m ,Non-stop,"₹ 8,931",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,15:40 - 19:15, 3h 35m ,1 stop,"₹ 8,091",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",SpiceJet,BLR - CCU,15:45 - 21:30, 5h 45m ,1 stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,23:45 - 06:05, 6h 20m ,1 stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,10:55 - 17:10, 6h 15m ,1 stop,"₹ 6,905",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,00:25 - 07:10, 6h 45m ,1 stop,"₹ 6,333",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,10:45 - 16:50, 6h 5m ,1 stop,"₹ 7,928",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,13:05 - 19:05, 6h ,1 stop,"₹ 8,039",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,15:40 - 23:10, 7h 30m ,1 stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,16:20 - 22:40, 6h 20m ,1 stop,"₹ 8,726",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,14:50 - 22:00, 7h 10m ,1 stop,"₹ 8,160",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,07:30 - 13:20, 5h 50m ,1 stop,"₹ 9,851",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,22:25 - 07:10, 8h 45m ,1 stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,00:40 - 06:05, 5h 25m ,1 stop,"₹ 11,751",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,11:20 - 19:30, 8h 10m ,1 stop,"₹ 8,644",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,07:05 - 17:10, 10h 5m ,1 stop,"₹ 6,731",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - CCU,07:35 - 12:55, 5h 20m ,1 stop,"₹ 12,922",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",SpiceJet,BLR - CCU,10:20 - 21:10, 10h 50m ,1 stop,"₹ 6,332",Bengaluru - BLR,Kolkata - CCU,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - CCU,09:20 - 19:15, 9h 55m ,1 stop,"₹ 7,529",Bengaluru - BLR,Kolkata - CCU,15/03/2022
