dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 16 Mar",Go First,BLR - BOM,05:45 - 07:20, 1h 35m ,Non-stop,"₹ 5,542",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Vistara,BLR - BOM,06:40 - 08:15, 1h 35m ,Non-stop,"₹ 6,184",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Go First,BLR - BOM,19:00 - 20:50, 1h 50m ,Non-stop,"₹ 5,728",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - BOM,06:00 - 07:35, 1h 35m ,Non-stop,"₹ 6,333",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - BOM,05:35 - 07:15, 1h 40m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Go First,BLR - BOM,20:30 - 22:25, 1h 55m ,Non-stop,"₹ 5,728",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - BOM,04:30 - 06:10, 1h 40m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Air India,BLR - BOM,06:45 - 08:35, 1h 50m ,Non-stop,"₹ 6,026",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - BOM,22:45 - 00:35, 1h 50m ,Non-stop,"₹ 6,332",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",FlexFlight,BLR - BOM,05:45 - 07:20, 1h 35m ,Non-stop,"₹ 7,124",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - BOM,22:40 - 00:35, 1h 55m ,Non-stop,"₹ 6,542",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",AirAsia (India),BLR - BOM,18:50 - 20:35, 1h 45m ,Non-stop,"₹ 6,962",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - BOM,07:00 - 08:35, 1h 35m ,Non-stop,"₹ 7,388",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - BOM,21:15 - 22:45, 1h 30m ,Non-stop,"₹ 7,598",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Go First,BLR - BOM,08:10 - 09:50, 1h 40m ,Non-stop,"₹ 7,391",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Air India,BLR - BOM,19:10 - 21:05, 1h 55m ,Non-stop,"₹ 7,262",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",Vistara,BLR - BOM,21:40 - 23:25, 1h 45m ,Non-stop,"₹ 7,759",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",FlexFlight,BLR - BOM,20:00 - 21:50, 1h 50m ,Non-stop,"₹ 7,990",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",IndiGo,BLR - BOM,18:00 - 19:50, 1h 50m ,Non-stop,"₹ 8,012",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",FlexFlight,BLR - BOM,08:10 - 09:50, 1h 40m ,Non-stop,"₹ 8,399",Bengaluru - BLR,Mumbai - BOM,15/03/2022
"Wed, 16 Mar",FlexFlight,BLR - BOM,22:00 - 23:55, 1h 55m ,Non-stop,"₹ 7,990",Bengaluru - BLR,Mumbai - BOM,15/03/2022
