dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 16 Mar",SpiceJet,DEL - BLR,05:10 - 07:50, 2h 40m ,Non-stop,"₹ 7,270",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",SpiceJet,DEL - BLR,05:25 - 08:05, 2h 40m ,Non-stop,"₹ 7,339",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",SpiceJet,DEL - BLR,22:30 - 01:15, 2h 45m ,Non-stop,"₹ 7,270",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",AirAsia (India),DEL - BLR,08:00 - 10:40, 2h 40m ,Non-stop,"₹ 7,574",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",~Z,DEL - BLR,18:40 - 21:25, 2h 45m ,Non-stop,"₹ 7,693",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Vistara,DEL - BLR,08:05 - 10:50, 2h 45m ,Non-stop,"₹ 8,010",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",AirAsia (India),DEL - BLR,09:35 - 12:25, 2h 50m ,Non-stop,"₹ 7,574",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Vistara,DEL - BLR,05:55 - 08:40, 2h 45m ,Non-stop,"₹ 8,010",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Air India,DEL - BLR,21:15 - 00:10, 2h 55m ,Non-stop,"₹ 7,792",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,06:10 - 08:50, 2h 40m ,Non-stop,"₹ 8,159",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Vistara,DEL - BLR,20:40 - 23:20, 2h 40m ,Non-stop,"₹ 8,159",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Air India,DEL - BLR,09:45 - 12:30, 2h 45m ,Non-stop,"₹ 8,276",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",~Z,DEL - BLR,06:05 - 08:40, 2h 35m ,Non-stop,"₹ 8,582",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,02:30 - 05:25, 2h 55m ,Non-stop,"₹ 8,157",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,04:15 - 07:10, 2h 55m ,Non-stop,"₹ 8,157",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,22:50 - 01:45, 2h 55m ,Non-stop,"₹ 8,157",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,21:25 - 00:20, 2h 55m ,Non-stop,"₹ 8,159",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,09:15 - 12:10, 2h 55m ,Non-stop,"₹ 8,159",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,08:20 - 11:15, 2h 55m ,Non-stop,"₹ 8,159",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,DEL - BLR,15:30 - 18:10, 2h 40m ,Non-stop,"₹ 8,533",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Vistara,DEL - BLR,09:05 - 11:50, 2h 45m ,Non-stop,"₹ 8,430",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Vistara,DEL - BLR,16:05 - 18:50, 2h 45m ,Non-stop,"₹ 8,430",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Vistara,DEL - BLR,14:15 - 17:00, 2h 45m ,Non-stop,"₹ 8,430",Delhi - DEL,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",AirAsia (India),DEL - BLR,19:00 - 21:45, 2h 45m ,Non-stop,"₹ 8,632",Delhi - DEL,Bengaluru - BLR,15/03/2022
