dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Thu, 14 Apr",IndiGo,BOM - BLR,22:40 - 00:10, 1h 30m ,Non-stop,"₹ 3,933",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Vistara,BOM - BLR,21:30 - 23:10, 1h 40m ,Non-stop,"₹ 3,884",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,06:05 - 07:40, 1h 35m ,Non-stop,"₹ 4,040",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,14:40 - 16:15, 1h 35m ,Non-stop,"₹ 4,040",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",AirAsia (India),BOM - BLR,22:00 - 23:35, 1h 35m ,Non-stop,"₹ 4,042",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",FlexFlight,BOM - BLR,21:05 - 22:50, 1h 45m ,Non-stop,"₹ 3,950",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,18:50 - 20:30, 1h 40m ,Non-stop,"₹ 3,933",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Vistara,BOM - BLR,17:30 - 19:15, 1h 45m ,Non-stop,"₹ 3,884",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,11:45 - 13:20, 1h 35m ,Non-stop,"₹ 4,127",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,09:55 - 11:35, 1h 40m ,Non-stop,"₹ 4,040",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,07:45 - 09:30, 1h 45m ,Non-stop,"₹ 3,933",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,00:10 - 01:55, 1h 45m ,Non-stop,"₹ 3,933",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",AirAsia (India),BOM - BLR,13:05 - 14:45, 1h 40m ,Non-stop,"₹ 4,042",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",SpiceJet,BOM - BLR,08:10 - 10:00, 1h 50m ,Non-stop,"₹ 3,879",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Go First,BOM - BLR,21:05 - 22:50, 1h 45m ,Non-stop,"₹ 4,016",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - BLR,07:00 - 08:45, 1h 45m ,Non-stop,"₹ 4,040",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",FlexFlight,BOM - BLR,22:40 - 00:30, 1h 50m ,Non-stop,"₹ 3,950",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Go First,BOM - BLR,06:10 - 07:45, 1h 35m ,Non-stop,"₹ 4,332",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Go First,BOM - BLR,22:40 - 00:30, 1h 50m ,Non-stop,"₹ 4,016",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",AirAsia (India),BOM - BLR,21:20 - 23:10, 1h 50m ,Non-stop,"₹ 4,042",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",FlexFlight,BOM - BLR,14:35 - 16:30, 1h 55m ,Non-stop,"₹ 3,950",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Vistara,BOM - BLR,16:00 - 17:45, 1h 45m ,Non-stop,"₹ 4,199",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Thu, 14 Apr",Vistara,BOM - BLR,19:10 - 20:55, 1h 45m ,Non-stop,"₹ 4,199",Mumbai - BOM,Bengaluru - BLR,15/03/2022
