dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 16 Mar",Go First,BOM - BLR,06:05 - 07:40, 1h 35m ,Non-stop,"₹ 5,476",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Go First,BOM - BLR,16:40 - 18:15, 1h 35m ,Non-stop,"₹ 5,663",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Go First,BOM - BLR,22:50 - 00:35, 1h 45m ,Non-stop,"₹ 5,476",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Go First,BOM - BLR,21:30 - 23:15, 1h 45m ,Non-stop,"₹ 5,476",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - BLR,01:15 - 02:50, 1h 35m ,Non-stop,"₹ 6,257",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",FlexFlight,BOM - BLR,16:40 - 18:15, 1h 35m ,Non-stop,"₹ 6,504",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",~Z,BOM - BLR,06:05 - 07:40, 1h 35m ,Non-stop,"₹ 6,504",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - BLR,04:50 - 06:40, 1h 50m ,Non-stop,"₹ 6,257",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - BLR,13:05 - 14:45, 1h 40m ,Non-stop,"₹ 6,573",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",FlexFlight,BOM - BLR,22:50 - 00:35, 1h 45m ,Non-stop,"₹ 6,504",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - BLR,21:20 - 23:15, 1h 55m ,Non-stop,"₹ 6,257",Mumbai - BOM,Bengaluru - BLR,15/03/2022
"Wed, 16 Mar",Air India,BOM - BLR,16:45 - 18:30, 1h 45m ,Non-stop,"₹ 7,115",Mumbai - BOM,Bengaluru - BLR,15/03/2022
