dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Thu, 14 Apr",SpiceJet,MAA - BOM,22:00 - 23:55, 1h 55m ,Non-stop,"₹ 4,299",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,MAA - BOM,09:45 - 11:40, 1h 55m ,Non-stop,"₹ 4,349",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,04:05 - 05:55, 1h 50m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,11:50 - 13:40, 1h 50m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,MAA - BOM,05:00 - 06:50, 1h 50m ,Non-stop,"₹ 4,510",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,12:55 - 14:45, 1h 50m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",~Z,MAA - BOM,05:00 - 06:50, 1h 50m ,Non-stop,"₹ 4,547",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,MAA - BOM,12:30 - 14:30, 2h ,Non-stop,"₹ 4,349",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,MAA - BOM,07:00 - 09:00, 2h ,Non-stop,"₹ 4,349",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,19:30 - 21:25, 1h 55m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,22:20 - 00:15, 1h 55m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,18:00 - 19:55, 1h 55m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,08:10 - 09:55, 1h 45m ,Non-stop,"₹ 4,697",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Vistara,MAA - BOM,20:30 - 22:35, 2h 5m ,Non-stop,"₹ 4,349",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,MAA - BOM,13:40 - 15:40, 2h ,Non-stop,"₹ 4,510",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Mahfooz Aviation (Gambia) Ltd.,MAA - BOM,13:40 - 15:40, 2h ,Non-stop,"₹ 4,547",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,20:25 - 22:30, 2h 5m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",SpiceJet,MAA - BOM,06:25 - 08:20, 1h 55m ,Non-stop,"₹ 4,690",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Go First,MAA - BOM,08:15 - 10:20, 2h 5m ,Non-stop,"₹ 4,510",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",~Z,MAA - BOM,08:15 - 10:20, 2h 5m ,Non-stop,"₹ 4,547",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,09:30 - 11:40, 2h 10m ,Non-stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Air India,MAA - BOM,15:25 - 17:10, 1h 45m ,Non-stop,"₹ 6,008",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,17:00 - 20:35, 3h 35m ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,19:25 - 23:10, 3h 45m ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,19:10 - 23:00, 3h 50m ,1 stop,"₹ 4,627",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",Air India,MAA - BOM,06:20 - 08:05, 1h 45m ,Non-stop,"₹ 7,443",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,11:20 - 15:35, 4h 15m ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,19:00 - 23:30, 4h 30m ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,20:05 - 00:40, 4h 35m ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,04:50 - 09:45, 4h 55m ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,13:00 - 18:00, 5h ,1 stop,"₹ 4,483",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,15:50 - 20:35, 4h 45m ,1 stop,"₹ 5,027",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,18:20 - 23:10, 4h 50m ,1 stop,"₹ 5,027",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,09:00 - 13:50, 4h 50m ,1 stop,"₹ 5,359",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,16:20 - 21:10, 4h 50m ,1 stop,"₹ 6,011",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",AirAsia (India),MAA - BOM,16:00 - 20:40, 4h 40m ,1 stop,"₹ 6,727",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,16:20 - 23:00, 6h 40m ,1 stop,"₹ 4,664",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,06:25 - 11:00, 4h 35m ,1 stop,"₹ 7,430",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,07:45 - 13:50, 6h 5m ,1 stop,"₹ 5,933",Chennai - MAA,Mumbai - BOM,15/03/2022
"Thu, 14 Apr",IndiGo,MAA - BOM,17:55 - 23:00, 5h 5m ,1 stop,"₹ 7,495",Chennai - MAA,Mumbai - BOM,15/03/2022
