dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 16 Mar",Air India,BOM - DEL,16:45 - 19:00, 2h 15m ,Non-stop,"₹ 5,656",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,06:00 - 08:00, 2h ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,08:00 - 10:10, 2h 10m ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,22:40 - 00:50, 2h 10m ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,06:00 - 08:00, 2h ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,06:00 - 08:05, 2h 5m ,Non-stop,"₹ 7,303",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,23:45 - 02:00, 2h 15m ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,15:50 - 18:05, 2h 15m ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,14:10 - 16:25, 2h 15m ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,09:55 - 12:10, 2h 15m ,Non-stop,"₹ 6,400",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,08:00 - 10:10, 2h 10m ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,03:05 - 05:10, 2h 5m ,Non-stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,05:00 - 07:05, 2h 5m ,Non-stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,07:45 - 09:50, 2h 5m ,Non-stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,21:45 - 23:59, 2h 14m ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,14:10 - 16:25, 2h 15m ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,23:45 - 02:00, 2h 15m ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,15:50 - 18:05, 2h 15m ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,09:55 - 12:10, 2h 15m ,Non-stop,"₹ 7,079",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,10:05 - 12:15, 2h 10m ,Non-stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,09:20 - 11:30, 2h 10m ,Non-stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,07:05 - 09:20, 2h 15m ,Non-stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,07:20 - 09:30, 2h 10m ,Non-stop,"₹ 7,517",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,08:30 - 10:25, 1h 55m ,Non-stop,"₹ 7,937",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,10:15 - 12:30, 2h 15m ,Non-stop,"₹ 7,429",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,11:45 - 14:00, 2h 15m ,Non-stop,"₹ 7,517",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,10:00 - 12:15, 2h 15m ,Non-stop,"₹ 7,549",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,07:10 - 09:30, 2h 20m ,Non-stop,"₹ 7,429",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,06:30 - 08:35, 2h 5m ,Non-stop,"₹ 7,832",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,13:40 - 15:50, 2h 10m ,Non-stop,"₹ 7,727",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,06:55 - 09:15, 2h 20m ,Non-stop,"₹ 7,549",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,11:55 - 14:05, 2h 10m ,Non-stop,"₹ 7,828",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,22:45 - 00:55, 2h 10m ,Non-stop,"₹ 7,828",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",~Z,BOM - DEL,18:00 - 20:10, 2h 10m ,Non-stop,"₹ 7,958",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,22:20 - 00:25, 2h 5m ,Non-stop,"₹ 8,357",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,15:50 - 18:00, 2h 10m ,Non-stop,"₹ 8,777",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,10:25 - 12:40, 2h 15m ,Non-stop,"₹ 8,882",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,14:40 - 16:55, 2h 15m ,Non-stop,"₹ 8,883",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,15:45 - 18:05, 2h 20m ,Non-stop,"₹ 8,878",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Air India,BOM - DEL,07:05 - 10:45, 3h 40m ,1 stop,"₹ 7,306",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,21:45 - 23:45, 2h ,Non-stop,"₹ 9,968",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Air India,BOM - DEL,21:30 - 23:45, 2h 15m ,Non-stop,"₹ 10,563",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,08:45 - 11:00, 2h 15m ,Non-stop,"₹ 10,772",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,15:15 - 20:20, 5h 5m ,1 stop,"₹ 6,571",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,17:15 - 19:20, 2h 5m ,Non-stop,"₹ 11,633",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Air India,BOM - DEL,15:35 - 19:20, 3h 45m ,1 stop,"₹ 9,126",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,21:45 - 00:00, 2h 15m ,Non-stop,"₹ 11,735",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,19:35 - 21:25, 1h 50m ,Non-stop,"₹ 13,082",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,06:05 - 10:35, 4h 30m ,1 stop,"₹ 8,987",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,12:25 - 14:30, 2h 5m ,Non-stop,"₹ 12,763",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,18:30 - 20:35, 2h 5m ,Non-stop,"₹ 13,082",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,21:20 - 03:20, 6h ,1 stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,04:45 - 10:55, 6h 10m ,1 stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,12:15 - 16:45, 4h 30m ,1 stop,"₹ 10,773",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,13:45 - 17:35, 3h 50m ,1 stop,"₹ 12,347",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,19:25 - 21:50, 2h 25m ,Non-stop,"₹ 14,802",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,18:10 - 00:50, 6h 40m ,1 stop,"₹ 8,253",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,20:30 - 22:35, 2h 5m ,Non-stop,"₹ 15,707",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,07:30 - 09:40, 2h 10m ,Non-stop,"₹ 15,703",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,19:45 - 21:55, 2h 10m ,Non-stop,"₹ 15,703",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,21:45 - 23:55, 2h 10m ,Non-stop,"₹ 15,707",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,21:55 - 00:10, 2h 15m ,Non-stop,"₹ 15,703",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,09:00 - 16:50, 7h 50m ,1 stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,20:10 - 03:20, 7h 10m ,1 stop,"₹ 9,094",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,13:05 - 22:15, 9h 10m ,1 stop,"₹ 7,307",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Air India,BOM - DEL,05:35 - 10:15, 4h 40m ,1 stop,"₹ 14,397",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 18,969",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,11:40 - 16:45, 5h 5m ,1 stop,"₹ 14,385",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,13:30 - 19:50, 6h 20m ,1 stop,"₹ 12,536",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Air India,BOM - DEL,21:00 - 03:40, 6h 40m ,1 stop,"₹ 12,458",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,09:25 - 13:40, 4h 15m ,1 stop,"₹ 16,240",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",AirAsia (India),BOM - DEL,08:15 - 16:15, 8h ,1 stop,"₹ 10,563",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,05:55 - 10:25, 4h 30m ,1 stop,"₹ 15,997",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,12:10 - 16:20, 4h 10m ,1 stop,"₹ 16,586",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,16:45 - 22:35, 5h 50m ,1 stop,"₹ 14,290",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",SpiceJet,BOM - DEL,13:50 - 18:35, 4h 45m ,1 stop,"₹ 16,130",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,19:15 - 00:20, 5h 5m ,1 stop,"₹ 15,707",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",IndiGo,BOM - DEL,07:45 - 13:40, 5h 55m ,1 stop,"₹ 14,633",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,10:35 - 20:20, 9h 45m ,1 stop,"₹ 8,726",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,18:30 - 20:40, 2h 10m ,Non-stop,"₹ 20,649",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Vistara,BOM - DEL,17:35 - 19:45, 2h 10m ,Non-stop,"₹ 20,650",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Go First,BOM - DEL,22:50 - 10:10, 11h 20m ,1 stop,"₹ 6,571",Mumbai - BOM,Delhi - DEL,15/03/2022
"Wed, 16 Mar",Air India,BOM - DEL,06:10 - 12:55, 6h 45m ,1 stop,"₹ 14,301",Mumbai - BOM,Delhi - DEL,15/03/2022
