dep_date,airline,station,time,duration,stops,price,dateofbooking
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
"Fri, 15 Apr",~Z,BOM - DEL,13:50 - 15:55, 2h 5m ,Non-stop,"₹ 4,487",15/03/2022
