dep_date,time,airline,station,duration,stops,price,source,destination,dateofbooking
"Tue, 15 Mar",23:00 - 01:30,IndiGo,BOM - CCU, 2h 30m ,Non-stop,"₹ 8,148",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:45 - 08:00,Go First,BOM - CCU, 8h 15m ,1 stop,"₹ 7,397",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",22:50 - 08:30,Go First,BOM - CCU, 9h 40m ,1 stop,"₹ 7,397",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:45 - 07:10,AirAsia (India),BOM - CCU, 9h 25m ,1 stop,"₹ 8,148",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:35 - 07:25,IndiGo,BOM - CCU, 9h 50m ,1 stop,"₹ 9,516",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:45 - 06:05,IndiGo,BOM - CCU, 6h 20m ,1 stop,"₹ 15,388",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:45 - 09:05,SpiceJet,BOM - CCU, 11h 20m ,1 stop,"₹ 8,148",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:45 - 06:05,Multiple Airlines,BOM - CCU, 6h 20m ,1 stop,"₹ 15,708",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:35 - 06:05,Multiple Airlines,BOM - CCU, 6h 30m ,1 stop,"₹ 16,623",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",22:45 - 08:35,Vistara,BOM - CCU, 9h 50m ,1 stop,"₹ 13,090",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:55 - 08:35,Vistara,BOM - CCU, 10h 40m ,1 stop,"₹ 13,681",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:30 - 12:30,Air India,BOM - CCU, 15h ,3 stops,"₹ 17,287",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:45 - 13:20,IndiGo,BOM - CCU, 13h 35m ,2 stops,"₹ 28,147",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:45 - 16:55,IndiGo,BOM - CCU, 17h 10m ,3 stops,"₹ 22,873",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",23:45 - 22:30,IndiGo,BOM - CCU, 22h 45m ,2 stops,"₹ 25,343",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:00 - 19:35,Vistara,BOM - CCU, 22h 35m ,2 stops,"₹ 30,239",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",21:00 - 18:05,Vistara,BOM - CCU, 21h 5m ,2 stops,"₹ 40,293",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
