dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Thu, 14 Apr",Vistara,BOM - CCU,17:20 - 19:55, 2h 35m ,Non-stop,"₹ 4,934",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",SpiceJet,BOM - CCU,06:10 - 08:55, 2h 45m ,Non-stop,"₹ 4,847",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",SpiceJet,BOM - CCU,20:50 - 23:35, 2h 45m ,Non-stop,"₹ 4,847",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Go First,BOM - CCU,05:05 - 07:45, 2h 40m ,Non-stop,"₹ 5,073",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,22:40 - 01:15, 2h 35m ,Non-stop,"₹ 5,326",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Go First,BOM - CCU,21:45 - 00:30, 2h 45m ,Non-stop,"₹ 5,073",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,17:35 - 20:10, 2h 35m ,Non-stop,"₹ 5,326",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Vistara,BOM - CCU,14:05 - 16:55, 2h 50m ,Non-stop,"₹ 5,301",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,19:25 - 22:20, 2h 55m ,Non-stop,"₹ 5,326",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Vistara,BOM - CCU,07:00 - 09:40, 2h 40m ,Non-stop,"₹ 5,616",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Air India,BOM - CCU,06:00 - 08:50, 2h 50m ,Non-stop,"₹ 5,584",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",FlexFlight,BOM - CCU,05:05 - 07:45, 2h 40m ,Non-stop,"₹ 5,908",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,07:50 - 10:20, 2h 30m ,Non-stop,"₹ 6,131",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",FlexFlight,BOM - CCU,21:45 - 00:30, 2h 45m ,Non-stop,"₹ 5,908",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,06:25 - 09:10, 2h 45m ,Non-stop,"₹ 6,131",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,09:50 - 12:25, 2h 35m ,Non-stop,"₹ 6,612",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,12:55 - 15:30, 2h 35m ,Non-stop,"₹ 6,788",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,17:15 - 22:30, 5h 15m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,17:10 - 22:40, 5h 30m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,05:20 - 11:05, 5h 45m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Air India,BOM - CCU,21:05 - 23:55, 2h 50m ,Non-stop,"₹ 7,977",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,15:00 - 21:40, 6h 40m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",SpiceJet,BOM - CCU,15:40 - 20:45, 5h 5m ,1 stop,"₹ 7,202",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,13:55 - 19:25, 5h 30m ,1 stop,"₹ 6,993",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,07:05 - 13:20, 6h 15m ,1 stop,"₹ 6,538",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,09:00 - 17:15, 8h 15m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,06:15 - 13:20, 7h 5m ,1 stop,"₹ 7,115",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,19:55 - 05:15, 9h 20m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,16:05 - 22:30, 6h 25m ,1 stop,"₹ 7,865",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Go First,BOM - CCU,05:40 - 11:20, 5h 40m ,1 stop,"₹ 8,638",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,21:25 - 06:50, 9h 25m ,1 stop,"₹ 5,005",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Vistara,BOM - CCU,17:35 - 22:45, 5h 10m ,1 stop,"₹ 9,244",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",AirAsia (India),BOM - CCU,13:05 - 19:50, 6h 45m ,1 stop,"₹ 7,976",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Go First,BOM - CCU,16:25 - 21:55, 5h 30m ,1 stop,"₹ 9,287",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Vistara,BOM - CCU,12:25 - 18:05, 5h 40m ,1 stop,"₹ 9,244",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Air India,BOM - CCU,09:50 - 16:40, 6h 50m ,2 stops,"₹ 8,352",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",IndiGo,BOM - CCU,15:45 - 23:40, 7h 55m ,1 stop,"₹ 7,304",Mumbai - BOM,Kolkata - CCU,15/03/2022
"Thu, 14 Apr",Go First,BOM - CCU,05:50 - 13:30, 7h 40m ,1 stop,"₹ 8,165",Mumbai - BOM,Kolkata - CCU,15/03/2022
