dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Tue, 15 Mar",IndiGo,BOM - CCU,23:00 - 01:30, 2h 30m ,Non-stop,"₹ 8,148",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Go First,BOM - CCU,23:45 - 08:00, 8h 15m ,1 stop,"₹ 7,397",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Go First,BOM - CCU,22:50 - 08:30, 9h 40m ,1 stop,"₹ 7,397",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",AirAsia (India),BOM - CCU,21:45 - 07:10, 9h 25m ,1 stop,"₹ 8,148",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",IndiGo,BOM - CCU,21:35 - 07:25, 9h 50m ,1 stop,"₹ 9,516",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",IndiGo,BOM - CCU,23:45 - 06:05, 6h 20m ,1 stop,"₹ 15,388",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",SpiceJet,BOM - CCU,21:45 - 09:05, 11h 20m ,1 stop,"₹ 8,148",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Multiple Airlines,BOM - CCU,23:45 - 06:05, 6h 20m ,1 stop,"₹ 15,708",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Multiple Airlines,BOM - CCU,23:35 - 06:05, 6h 30m ,1 stop,"₹ 16,623",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Vistara,BOM - CCU,22:45 - 08:35, 9h 50m ,1 stop,"₹ 13,090",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Vistara,BOM - CCU,21:55 - 08:35, 10h 40m ,1 stop,"₹ 13,681",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Air India,BOM - CCU,21:30 - 12:30, 15h ,3 stops,"₹ 17,287",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",IndiGo,BOM - CCU,23:45 - 13:20, 13h 35m ,2 stops,"₹ 28,147",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",IndiGo,BOM - CCU,23:45 - 16:55, 17h 10m ,3 stops,"₹ 22,873",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",IndiGo,BOM - CCU,23:45 - 22:30, 22h 45m ,2 stops,"₹ 25,343",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Vistara,BOM - CCU,21:00 - 19:35, 22h 35m ,2 stops,"₹ 30,239",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
"Tue, 15 Mar",Vistara,BOM - CCU,21:00 - 18:05, 21h 5m ,2 stops,"₹ 40,293",Mumbai - BOM,Kolkata - CCU,"Tue, 15 Mar"
