dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 30 Mar",~Z,BOM - MAA,20:30 - 22:20, 1h 50m ,Non-stop,"₹ 4,599",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",Mahfooz Aviation (Gambia) Ltd.,BOM - MAA,05:50 - 07:45, 1h 55m ,Non-stop,"₹ 4,599",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",~Z,BOM - MAA,11:00 - 13:00, 2h ,Non-stop,"₹ 4,599",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",Go First,BOM - MAA,20:30 - 22:20, 1h 50m ,Non-stop,"₹ 5,288",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",SpiceJet,BOM - MAA,19:35 - 21:30, 1h 55m ,Non-stop,"₹ 5,200",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",Go First,BOM - MAA,05:50 - 07:45, 1h 55m ,Non-stop,"₹ 5,288",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",Go First,BOM - MAA,11:00 - 13:00, 2h ,Non-stop,"₹ 5,288",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",SpiceJet,BOM - MAA,05:40 - 07:50, 2h 10m ,Non-stop,"₹ 5,200",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,22:15 - 00:05, 1h 50m ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,00:20 - 02:10, 1h 50m ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,15:25 - 17:20, 1h 55m ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,05:35 - 07:30, 1h 55m ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,16:45 - 18:45, 2h ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,06:50 - 08:50, 2h ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
"Wed, 30 Mar",IndiGo,BOM - MAA,10:15 - 12:15, 2h ,Non-stop,"₹ 5,727",Mumbai - BOM,Chennai - MAA,15/03/2022
