dep_date,airline,time,station,duration,stops,price,dateofbooking
16/03/2022,Go First,13:35 - 15:30,MAA - BOM, 1h 55m ,Non-stop,"₹ 6,346",15/03/2022
16/03/2022,Air India,06:20 - 08:05,MAA - BOM, 1h 45m ,Non-stop,"₹ 6,935",15/03/2022
16/03/2022,SpiceJet,21:50 - 23:50,MAA - BOM, 2h ,Non-stop,"₹ 6,589",15/03/2022
16/03/2022,IndiGo,04:45 - 06:35,MAA - BOM, 1h 50m ,Non-stop,"₹ 7,246",15/03/2022
16/03/2022,Vistara,09:45 - 11:40,MAA - BOM, 1h 55m ,Non-stop,"₹ 7,098",15/03/2022
16/03/2022,IndiGo,13:10 - 15:05,MAA - BOM, 1h 55m ,Non-stop,"₹ 7,247",15/03/2022
16/03/2022,IndiGo,09:40 - 11:35,MAA - BOM, 1h 55m ,Non-stop,"₹ 7,247",15/03/2022
16/03/2022,Vistara,07:00 - 09:00,MAA - BOM, 2h ,Non-stop,"₹ 7,246",15/03/2022
16/03/2022,Vistara,12:30 - 14:30,MAA - BOM, 2h ,Non-stop,"₹ 7,246",15/03/2022
16/03/2022,IndiGo,22:15 - 00:20,MAA - BOM, 2h 5m ,Non-stop,"₹ 7,246",15/03/2022
16/03/2022,IndiGo,07:05 - 09:05,MAA - BOM, 2h ,Non-stop,"₹ 7,457",15/03/2022
16/03/2022,IndiGo,18:45 - 20:45,MAA - BOM, 2h ,Non-stop,"₹ 8,087",15/03/2022
16/03/2022,IndiGo,17:50 - 19:40,MAA - BOM, 1h 50m ,Non-stop,"₹ 9,300",15/03/2022
16/03/2022,IndiGo,19:55 - 22:10,MAA - BOM, 2h 15m ,Non-stop,"₹ 8,611",15/03/2022
16/03/2022,Vistara,20:30 - 22:35,MAA - BOM, 2h 5m ,Non-stop,"₹ 12,558",15/03/2022
16/03/2022,AirAsia (India),16:05 - 20:35,MAA - BOM, 4h 30m ,1 stop,"₹ 8,193",15/03/2022
16/03/2022,IndiGo,17:05 - 20:45,MAA - BOM, 3h 40m ,1 stop,"₹ 12,287",15/03/2022
16/03/2022,IndiGo,18:30 - 23:25,MAA - BOM, 4h 55m ,1 stop,"₹ 10,187",15/03/2022
16/03/2022,IndiGo,15:40 - 21:50,MAA - BOM, 6h 10m ,1 stop,"₹ 8,086",15/03/2022
