dep_date,airline,station,time,duration,stops,price,dateofbooking
30/03/2022,SpiceJet,CCU - BLR,06:10 - 08:25, 2h 15m ,Non-stop,"₹ 5,740",15/03/2022
30/03/2022,Go First,CCU - BLR,19:10 - 21:25, 2h 15m ,Non-stop,"₹ 5,772",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,15:25 - 17:30, 2h 5m ,Non-stop,"₹ 6,064",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,16:40 - 18:45, 2h 5m ,Non-stop,"₹ 6,064",15/03/2022
30/03/2022,IndiGo,CCU - BLR,05:40 - 07:55, 2h 15m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,Go First,CCU - BLR,08:50 - 11:25, 2h 35m ,Non-stop,"₹ 5,772",15/03/2022
30/03/2022,IndiGo,CCU - BLR,18:45 - 21:05, 2h 20m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,Air India,CCU - BLR,08:25 - 10:55, 2h 30m ,Non-stop,"₹ 6,144",15/03/2022
30/03/2022,IndiGo,CCU - BLR,04:30 - 06:55, 2h 25m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,06:45 - 09:15, 2h 30m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,21:20 - 23:50, 2h 30m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,08:40 - 11:10, 2h 30m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,19:55 - 22:25, 2h 30m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,09:30 - 12:10, 2h 40m ,Non-stop,"₹ 6,064",15/03/2022
30/03/2022,IndiGo,CCU - BLR,16:35 - 19:05, 2h 30m ,Non-stop,"₹ 6,389",15/03/2022
30/03/2022,IndiGo,CCU - BLR,12:05 - 14:40, 2h 35m ,Non-stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,14:00 - 16:35, 2h 35m ,Non-stop,"₹ 6,384",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,20:25 - 23:15, 2h 50m ,Non-stop,"₹ 6,064",15/03/2022
30/03/2022,FlexFlight,CCU - BLR,19:10 - 21:25, 2h 15m ,Non-stop,"₹ 6,890",15/03/2022
30/03/2022,FlexFlight,CCU - BLR,08:50 - 11:25, 2h 35m ,Non-stop,"₹ 6,890",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,18:40 - 22:30, 3h 50m ,1 stop,"₹ 6,440",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,15:30 - 18:15, 2h 45m ,Non-stop,"₹ 8,271",15/03/2022
30/03/2022,IndiGo,CCU - BLR,20:50 - 01:30, 4h 40m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,07:25 - 12:05, 4h 40m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,05:55 - 10:35, 4h 40m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,19:55 - 00:50, 4h 55m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,04:40 - 09:55, 5h 15m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,14:00 - 19:20, 5h 20m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,08:35 - 14:00, 5h 25m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,15:00 - 20:35, 5h 35m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,05:25 - 11:30, 6h 5m ,1 stop,"₹ 5,674",15/03/2022
30/03/2022,IndiGo,CCU - BLR,18:00 - 23:40, 5h 40m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,10:45 - 17:15, 6h 30m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,13:20 - 20:20, 7h ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,IndiGo,CCU - BLR,14:25 - 19:55, 5h 30m ,1 stop,"₹ 9,429",15/03/2022
30/03/2022,IndiGo,CCU - BLR,11:10 - 18:55, 7h 45m ,1 stop,"₹ 6,384",15/03/2022
30/03/2022,IndiGo,CCU - BLR,10:45 - 16:50, 6h 5m ,1 stop,"₹ 9,344",15/03/2022
30/03/2022,FlexFlight,CCU - BLR,18:30 - 00:30, 6h ,1 stop,"₹ 9,574",15/03/2022
30/03/2022,Multiple Airlines,CCU - BLR,22:05 - 02:55, 4h 50m ,1 stop,"₹ 11,544",15/03/2022
30/03/2022,IndiGo,CCU - BLR,23:55 - 08:40, 8h 45m ,1 stop,"₹ 6,284",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,01:25 - 10:40, 9h 15m ,1 stop,"₹ 5,674",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,13:15 - 22:30, 9h 15m ,1 stop,"₹ 5,674",15/03/2022
30/03/2022,IndiGo,CCU - BLR,14:10 - 22:20, 8h 10m ,1 stop,"₹ 7,271",15/03/2022
30/03/2022,Vistara,CCU - BLR,17:35 - 23:10, 5h 35m ,1 stop,"₹ 10,886",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,07:35 - 17:00, 9h 25m ,1 stop,"₹ 5,674",15/03/2022
30/03/2022,IndiGo,CCU - BLR,08:55 - 17:55, 9h ,1 stop,"₹ 6,383",15/03/2022
30/03/2022,IndiGo,CCU - BLR,07:10 - 14:20, 7h 10m ,1 stop,"₹ 9,245",15/03/2022
30/03/2022,Go First,CCU - BLR,18:30 - 00:30, 6h ,1 stop,"₹ 10,906",15/03/2022
30/03/2022,IndiGo,CCU - BLR,14:40 - 21:25, 6h 45m ,1 stop,"₹ 10,726",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,04:45 - 15:30, 10h 45m ,1 stop,"₹ 5,674",15/03/2022
