dep_date,airline,dep_time,duration,arr_time,price,source,destination,dateofbooking,stops
14/02/2022,IndiGo ,08:30,1h 55m,10:25,"6,153",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,07:45,2h 05m,09:50,"5,943",BOM,DEL,13/02/2022,
14/02/2022,Vistara ,12:25,2h 05m,14:30,"6,249",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,10:05,2h 10m,12:15,"5,943",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,13:40,2h 10m,15:50,"5,943",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,09:20,2h 10m,11:30,"5,943",BOM,DEL,13/02/2022,
14/02/2022,Air India ,08:00,2h 15m,10:15,"5,943",BOM,DEL,13/02/2022,
14/02/2022,Air India ,10:00,2h 15m,12:15,"5,943",BOM,DEL,13/02/2022,
14/02/2022,Vistara ,11:55,2h 10m,14:05,"6,249",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,11:45,2h 15m,14:00,"5,943",BOM,DEL,13/02/2022,
14/02/2022,SpiceJet ,07:20,2h 15m,09:35,"6,540",BOM,DEL,13/02/2022,
14/02/2022,SpiceJet ,10:15,2h 15m,12:30,"6,540",BOM,DEL,13/02/2022,
14/02/2022,Vistara ,10:25,2h 15m,12:40,"6,249",BOM,DEL,13/02/2022,
14/02/2022,Vistara ,14:40,2h 15m,16:55,"6,249",BOM,DEL,13/02/2022,
14/02/2022,Vistara ,08:45,2h 15m,11:00,"6,360",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,07:05,2h 15m,09:20,"6,153",BOM,DEL,13/02/2022,
14/02/2022,AirAsia India ,07:20,2h 10m,09:30,"6,967",BOM,DEL,13/02/2022,
14/02/2022,Vistara ,07:00,2h 05m,09:05,"8,245",BOM,DEL,13/02/2022,
14/02/2022,Air India ,18:00,2h,20:00,"5,955",DEL,BOM,13/02/2022,
14/02/2022,Go First ,15:30,2h 05m,17:35,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Go First ,17:00,2h 05m,19:05,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Air India ,20:00,2h 10m,22:10,"5,955",DEL,BOM,13/02/2022,
14/02/2022,Go First ,22:30,2h 10m,00:40,"5,900",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,17:15,2h 10m,19:25,"5,955",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,18:40,2h 10m,20:50,"5,955",DEL,BOM,13/02/2022,
14/02/2022,Air India ,19:00,2h 15m,21:15,"5,955",DEL,BOM,13/02/2022,
14/02/2022,SpiceJet ,18:55,2h 10m,21:05,"6,543",DEL,BOM,13/02/2022,
14/02/2022,Vistara ,15:30,2h 10m,17:40,"6,261",DEL,BOM,13/02/2022,
14/02/2022,Vistara ,19:50,2h 10m,22:00,"6,261",DEL,BOM,13/02/2022,
14/02/2022,Vistara ,20:40,2h 10m,22:50,"6,261",DEL,BOM,13/02/2022,
14/02/2022,Go First ,15:00,2h 15m,17:15,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Go First ,19:40,2h 15m,21:55,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Go First ,21:00,2h 15m,23:15,"5,900",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,21:15,2h 15m,23:30,"5,955",DEL,BOM,13/02/2022,
14/02/2022,Vistara ,19:00,2h 15m,21:15,"6,261",DEL,BOM,13/02/2022,
14/02/2022,Go First ,18:05,2h 20m,20:25,"5,900",DEL,BOM,13/02/2022,
14/02/2022,SpiceJet ,19:45,2h 20m,22:05,"6,543",DEL,BOM,13/02/2022,
14/02/2022,Vistara ,17:45,2h 20m,20:05,"6,261",DEL,BOM,13/02/2022,
14/02/2022,Go First ,13:30,2h 05m,15:35,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Go First ,07:00,2h 10m,09:10,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Go First ,08:00,2h 10m,10:10,"5,900",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,12:00,2h 10m,14:10,"5,955",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,06:30,2h 10m,08:40,"5,955",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,07:15,2h 10m,09:25,"5,955",DEL,BOM,13/02/2022,
14/02/2022,Go First ,14:20,2h 15m,16:35,"5,900",DEL,BOM,13/02/2022,
14/02/2022,Go First ,15:00,2h 15m,17:15,"5,900",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,14:20,2h 15m,16:35,"5,955",DEL,BOM,13/02/2022,
14/02/2022,SpiceJet ,07:20,2h 15m,09:35,"6,543",DEL,BOM,13/02/2022,
14/02/2022,Go First ,10:30,2h 20m,12:50,"5,900",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,08:45,2h 20m,11:05,"5,955",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,10:45,2h 20m,13:05,"5,955",DEL,BOM,13/02/2022,
14/02/2022,Go First ,02:00,2h 15m,04:15,"5,900",DEL,BOM,13/02/2022,
14/02/2022,SpiceJet ,06:20,2h 20m,08:40,"6,543",DEL,BOM,13/02/2022,
14/02/2022,AirAsia India ,04:25,2h 10m,06:35,"6,139",DEL,BOM,13/02/2022,
14/02/2022,IndiGo ,09:30,2h 30m,12:00,"5,955",DEL,BOM,13/02/2022,
14/02/2022,AirAsia India ,22:00,2h 10m,00:10,"5,000",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,19:35,1h 50m,21:25,"5,943",BOM,DEL,13/02/2022,
14/02/2022,Go First ,16:30,2h 05m,18:35,"5,888",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,17:15,2h 05m,19:20,"5,943",BOM,DEL,13/02/2022,
14/02/2022,IndiGo ,18:30,2h 05m,20:35,"5,943",BOM,DEL,13/02/2022,
14/02/2022,Go First ,18:00,2h 10m,20:10,"5,888",BOM,DEL,13/02/2022,
14/02/2022,Go First ,20:15,2h 10m,22:25,"5,888",BOM,DEL,13/02/2022,
14/02/2022,Go First ,22:40,2h 10m,00:50,"5,888",BOM,DEL,13/02/2022,
14/02/2022,SpiceJet ,21:45,2h 10m,23:55,"6,540",BOM,DEL,13/02/2022,
14/02/2022,Go First ,21:15,2h 15m,23:30,"5,888",BOM,DEL,13/02/2022,
14/02/2022,Go First ,23:45,2h 15m,02:00,"5,888",BOM,DEL,13/02/2022,
14/02/2022,SpiceJet ,19:25,2h 25m,21:50,"6,540",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,08:30,1h 55m,10:25,"6,153",BOM,DEL,13/02/2022,
15/02/2022,Go First ,12:30,2h 05m,14:35,"5,779",BOM,DEL,13/02/2022,
15/02/2022,Go First ,14:30,2h 05m,16:35,"5,779",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,07:45,2h 05m,09:50,"5,943",BOM,DEL,13/02/2022,
15/02/2022,Go First ,06:00,2h 10m,08:10,"5,779",BOM,DEL,13/02/2022,
15/02/2022,Go First ,08:00,2h 10m,10:10,"5,779",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,06:00,2h 05m,08:05,"6,249",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,06:30,2h 05m,08:35,"6,249",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,12:25,2h 05m,14:30,"6,249",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,09:20,2h 10m,11:30,"5,943",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,10:05,2h 10m,12:15,"5,943",BOM,DEL,13/02/2022,
15/02/2022,Air India ,08:00,2h 15m,10:15,"5,943",BOM,DEL,13/02/2022,
15/02/2022,Air India ,10:00,2h 15m,12:15,"5,943",BOM,DEL,13/02/2022,
15/02/2022,Go First ,09:55,2h 15m,12:10,"5,779",BOM,DEL,13/02/2022,
15/02/2022,Go First ,12:15,2h 15m,14:30,"5,779",BOM,DEL,13/02/2022,
15/02/2022,Go First ,13:30,2h 15m,15:45,"5,779",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,07:30,2h 10m,09:40,"6,249",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,11:55,2h 10m,14:05,"6,249",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,07:05,2h 15m,09:20,"5,943",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,11:45,2h 15m,14:00,"5,943",BOM,DEL,13/02/2022,
15/02/2022,IndiGo ,13:40,2h 10m,15:50,"6,153",BOM,DEL,13/02/2022,
15/02/2022,SpiceJet ,07:20,2h 15m,09:35,"6,540",BOM,DEL,13/02/2022,
15/02/2022,SpiceJet ,10:15,2h 15m,12:30,"6,540",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,08:45,2h 15m,11:00,"6,249",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,10:25,2h 15m,12:40,"6,249",BOM,DEL,13/02/2022,
15/02/2022,Vistara ,14:40,2h 15m,16:55,"6,249",BOM,DEL,13/02/2022,
15/02/2022,AirAsia India ,07:20,2h 10m,09:30,"6,337",BOM,DEL,13/02/2022,
15/02/2022,AirAsia India ,19:10,2h 15m,21:25,"5,000",DEL,BOM,13/02/2022,
15/02/2022,Air India ,18:00,2h,20:00,"5,955",DEL,BOM,13/02/2022,
15/02/2022,IndiGo ,17:15,2h 10m,19:25,"5,955",DEL,BOM,13/02/2022,
15/02/2022,IndiGo ,18:40,2h 10m,20:50,"5,955",DEL,BOM,13/02/2022,
15/02/2022,Air India ,19:00,2h 15m,21:15,"5,955",DEL,BOM,13/02/2022,
15/02/2022,SpiceJet ,18:55,2h 10m,21:05,"6,543",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,15:30,2h 10m,17:40,"6,261",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,19:50,2h 10m,22:00,"6,261",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,20:40,2h 10m,22:50,"6,261",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,21:40,2h 10m,23:50,"6,261",DEL,BOM,13/02/2022,
15/02/2022,IndiGo ,21:15,2h 15m,23:30,"5,955",DEL,BOM,13/02/2022,
15/02/2022,Air India ,20:00,2h 10m,22:10,"6,375",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,19:00,2h 15m,21:15,"6,261",DEL,BOM,13/02/2022,
15/02/2022,SpiceJet ,19:45,2h 20m,22:05,"6,543",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,16:45,2h 20m,19:05,"6,261",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,17:45,2h 20m,20:05,"6,261",DEL,BOM,13/02/2022,
15/02/2022,AirAsia India ,04:25,2h 10m,06:35,"5,000",DEL,BOM,13/02/2022,
15/02/2022,Air India ,07:00,2h 05m,09:05,"5,955",DEL,BOM,13/02/2022,
15/02/2022,Go First ,13:30,2h 05m,15:35,"5,793",DEL,BOM,13/02/2022,
15/02/2022,Air India ,08:00,2h 10m,10:10,"5,955",DEL,BOM,13/02/2022,
15/02/2022,Go First ,07:00,2h 10m,09:10,"5,793",DEL,BOM,13/02/2022,
15/02/2022,Go First ,08:00,2h 10m,10:10,"5,793",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,09:30,2h 05m,11:35,"6,261",DEL,BOM,13/02/2022,
15/02/2022,IndiGo ,06:30,2h 10m,08:40,"5,955",DEL,BOM,13/02/2022,
15/02/2022,IndiGo ,12:00,2h 10m,14:10,"5,955",DEL,BOM,13/02/2022,
15/02/2022,IndiGo ,07:15,2h 10m,09:25,"5,955",DEL,BOM,13/02/2022,
15/02/2022,Air India ,09:00,2h 15m,11:15,"5,955",DEL,BOM,13/02/2022,
15/02/2022,Go First ,14:20,2h 15m,16:35,"5,793",DEL,BOM,13/02/2022,
15/02/2022,Go First ,15:00,2h 15m,17:15,"5,793",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,05:45,2h 10m,07:55,"6,261",DEL,BOM,13/02/2022,
15/02/2022,Vistara ,12:50,2h 10m,15:00,"6,261",DEL,BOM,13/02/2022,
